"genus","species","authority","year","higherTaxonomy"
"Ablepharus","alaicus","ELPATJEVSKY","1901","Scincidae, Eugongylinae (Eugongylini), Scincoidea"
"Ablepharus","anatolicus","SCHMIDTLER","1997","Scincidae, Eugongylinae (Eugongylini), Scincoidea"
"Ablepharus","bivittatus","MENETRIES","1832","Scincidae, Eugongylinae (Eugongylini), Scincoidea"
"Ablepharus","budaki","GOCMEN KUMLUTAS & TOSUNOGLU","1996","Scincidae, Eugongylinae (Eugongylini), Scincoidea"
"Ablepharus","chernovi","DAREVSKY","1953","Scincidae, Eugongylinae (Eugongylini), Scincoidea"
"Ablepharus","darvazi","EREMCHENKO & PANFILOV","1990","Scincidae, Eugongylinae (Eugongylini), Scincoidea"
"Ablepharus","deserti","STRAUCH","1868","Scincidae, Eugongylinae (Eugongylini), Scincoidea"
"Ablepharus","eremchenkoi","PANFILOV","1999","Scincidae, Eugongylinae (Eugongylini), Scincoidea"
"Ablepharus","grayanus","STOLICZKA","1872","Scincidae, Eugongylinae (Eugongylini), Scincoidea"
"Ablepharus","himalayanus","GUNTHER","1864","Scincidae, Eugongylinae (Eugongylini), Scincoidea"
"Ablepharus","kitaibelii","BIBRON & BORY ST-VINCENT","1833","Scincidae, Eugongylinae (Eugongylini), Scincoidea"
"Ablepharus","ladacensis","GUNTHER","1864","Scincidae, Eugongylinae (Eugongylini), Scincoidea"
"Ablepharus","lindbergi","WETTSTEIN","1960","Scincidae, Eugongylinae (Eugongylini), Scincoidea"
"Ablepharus","mahabharatus","EREMCHENKO SHAH & PANFILOV","1998","Scincidae, Eugongylinae (Eugongylini), Scincoidea"
"Ablepharus","nepalensis","EREMCHENKO & HELFENBERGER","1998","Scincidae, Eugongylinae (Eugongylini), Scincoidea"
"Ablepharus","pannonicus","LICHTENSTEIN","1823","Scincidae, Eugongylinae (Eugongylini), Scincoidea"
"Ablepharus","rueppellii","GRAY","1839","Scincidae, Eugongylinae (Eugongylini), Scincoidea"
"Ablepharus","sikimmensis","BLYTH","1854","Scincidae, Eugongylinae (Eugongylini), Scincoidea"
"Ablepharus","tragbulensis","ALCOCK","1898","Scincidae, Eugongylinae (Eugongylini), Scincoidea"
"Abronia","antauges","COPE","1866","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha"
"Abronia","anzuetoi","CAMPBELL & FROST","1993","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha"
"Abronia","aurita","COPE","1869","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha"
"Abronia","bogerti","TIHEN","1954","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha"
"Abronia","campbelli","BRODIE & SAVAGE","1993","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha"
"Abronia","chiszari","SMITH & SMITH","1981","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha"
"Abronia","cuchumatanus","SOLANO-ZAVALETA NIETO-MONTES DE OCA & CAMPBELL","2016","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha"
"Abronia","cuetzpali","CAMPBELL SOLANO-ZAVALETA FLORES-VILLELA CAVIEDES-SOLIS & FROST","2016","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha"
"Abronia","cunemica","CLAUSE LUNA-REYES MENDOZA-VELAZQUEZ NIETO-MONTES DE OCA & SOLANO-ZAVALETA","2024","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha"
"Abronia","deppii","WIEGMANN","1828","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha"
"Abronia","fimbriata","COPE","1885","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha"
"Abronia","frosti","CAMPBELL SASA ACEVEDO & MENDELSON","1998","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha"
"Abronia","fuscolabialis","TIHEN","1944","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha"
"Abronia","gadovii","BOULENGER","1913","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha"
"Abronia","gaiophantasma","CAMPBELL & FROST","1993","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha"
"Abronia","graminea","COPE","1864","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha"
"Abronia","juarezi","KARGES & WRIGHT","1987","Anguidae (Gerrhonotinae), Diploglossa, Anguimorpha"
