"genus","species","subspecies","authority","year"
"Ablepharus","alaicus","kucenkoi","NIKOLSKY","1902"
"Ablepharus","alaicus","alaicus","ELPATJEVSKY","1901"
"Ablepharus","alaicus","yakovlevae","EREMCHENKO","1983"
"Ablepharus","chernovi","chernovi","DAREVSKY","1953"
"Ablepharus","chernovi","eiselti","SCHMIDTLER","1997"
"Ablepharus","chernovi","isauriensis","SCHMIDTLER","1997"
"Ablepharus","chernovi","ressli","SCHMIDTLER","1997"
"Ablepharus","kitaibelii","kitaibelii","BIBRON & BORY","1833"
"Ablepharus","kitaibelii","fabichi","STEPANEK","1937"
"Ablepharus","kitaibelii","fitzingeri","MERTENS","1952"
"Ablepharus","kitaibelii","stepaneki","FUHN","1970"
"Ablepharus","ladacensis","ladacensis","GUNTHER","1864"
"Ablepharus","ladacensis","stimsoni","EREMCENKO","1992"
"Ablepharus","rueppellii","rueppellii","GRAY","1839"
"Ablepharus","rueppellii","festae","PERACCA","1894"
"Abronia","gadovii","gadovii","BOULENGER","1913"
"Abronia","gadovii","levigata","TIHEN","1949"
"Abronia","moreletii","moreletii","BOCOURT","1872"
"Abronia","moreletii","rafaeli","HARTWEG & TIHEN","1946"
"Abronia","moreletii","salvadorensis","SCHMIDT","1928"
"Abronia","moreletii","temporalis","HARTWEG & TIHEN","1946"
"Acanthodactylus","boskianus","asper","AUDOUIN","1829"
"Acanthodactylus","boskianus","boskianus","DAUDIN","1802"
"Acanthodactylus","boskianus","euphraticus","BOULENGER","1919"
"Acanthodactylus","erythrurus","atlanticus","BOULENGER","1918"
"Acanthodactylus","erythrurus","belli","GRAY","1845"
"Acanthodactylus","erythrurus","erythrurus","SCHINZ","1833"
"Acanthodactylus","erythrurus","lineomaculatus","DUMERIL & BIBRON","1839"
"Acanthodactylus","scutellatus","audouini","BOULENGER","1918"
"Acanthodactylus","scutellatus","scutellatus","AUDOUIN","1827"
"Achalinus","formosanus","chigirai","OTA & TOYAMA","1989"
"Achalinus","formosanus","formosanus","BOULENGER","1908"
"Acontias","aurantiacus","aurantiacus","PETERS","1854"
"Acontias","aurantiacus","bazarutoensis","BROADLEY","1990"
"Acontias","aurantiacus","carolinensis","BROADLEY","1990"
"Aeluroscalabotes","felinus","felinus","GUNTHER","1864"
"Aeluroscalabotes","felinus","multituberculatus","KOPSTEIN","1927"
"Afrotyphlops","schlegelii","schlegelii","BIANCONI","1849"
"Afrotyphlops","schlegelii","petersii","BOCAGE","1873"
"Afrotyphlops","schmidti","schmidti","LAURENT","1956"
"Afrotyphlops","schmidti","laurenti","LAURENT","1968"
"Agama","aculeata","distanti","BOULENGER","1902"
"Agama","aculeata","aculeata","MERREM","1820"
"Agama","caudospinosa","caudospinosa","MEEK","1910"
"Agama","caudospinosa","spawlsi","WAGNER","2010"
"Agama","dodomae","dodomae","LOVERIDGE","1923"
"Agama","dodomae","ufipae","LOVERIDGE","1932"
"Agama","doriae","benueensis","MONARD","1951"
"Agama","doriae","doriae","BOULENGER","1885"
"Agama","finchi","finchi","BOHME et al.","2005"
"Agama","finchi","leucerythrolaema","WAGNER et al.","2011"
"Agama","hispida","makarikarika","FITZSIMONS","1932"
"Agama","hispida","hispida","KAUP","1827"
"Agama","kirkii","fitzsimonsi","LOVERIDGE","1950"
"Agama","kirkii","kirkii","BOULENGER","1885"
"Agama","lionotus","elgonis","LONNBERG","1922"
"Agama","lionotus","lionotus","BOULENGER","1896"
"Agama","rueppelli","rueppelli","VAILLANT in REVOIL","1882"
"Agama","rueppelli","occidentalis","PARKER","1932"
"Agama","rueppelli","septentrionalis","PARKER","1932"
"Agamodon","anguliceps","anguliceps","PETERS","1882"
"Agamodon","anguliceps","immaculatus","CALABRESI","1927"
